Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
87	:	1569850767.802	     0.010	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Stanford/Oscar && timeout --signal=TERM 0 ./NO_SSA_Oscar.exe   < /dev/null &> /dev/null
88	:	1569850767.820	     0.319	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Stanford/Puzzle && timeout --signal=TERM 0 ./NO_SSA_Puzzle.exe   < /dev/null &> /dev/null
89	:	1569850768.141	     0.023	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Stanford/Queens && timeout --signal=TERM 0 ./NO_SSA_Queens.exe   < /dev/null &> /dev/null
90	:	1569850768.167	     0.073	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Stanford/Quicksort && timeout --signal=TERM 0 ./NO_SSA_Quicksort.exe   < /dev/null &> /dev/null
91	:	1569850768.243	     0.007	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Stanford/RealMM && timeout --signal=TERM 0 ./NO_SSA_RealMM.exe   < /dev/null &> /dev/null
92	:	1569850768.253	     0.033	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Stanford/Towers && timeout --signal=TERM 0 ./NO_SSA_Towers.exe   < /dev/null &> /dev/null
93	:	1569850768.289	     0.111	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Stanford/Treesort && timeout --signal=TERM 0 ./NO_SSA_Treesort.exe   < /dev/null &> /dev/null
94	:	1569850768.403	     1.758	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Fhourstones && timeout --signal=TERM 0 ./NO_SSA_Fhourstones.exe  <  input  &> /dev/null
95	:	1569850770.164	    12.862	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Linpack && timeout --signal=TERM 0 ./NO_SSA_Linpack.exe   < /dev/null &> /dev/null
96	:	1569850783.029	     0.138	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/mediabench/adpcm/rawcaudio && timeout --signal=TERM 0 ./NO_SSA_adpcm-rawcaudio.exe  <  ../data/clinton.pcm  &> /dev/null
97	:	1569850783.173	     0.195	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/mediabench/adpcm/rawdaudio && timeout --signal=TERM 0 ./NO_SSA_adpcm-rawdaudio.exe  <  ../data/clinton.adpcm  &> /dev/null
98	:	1569850783.372	     0.473	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/mediabench/g721/g721encode && timeout --signal=TERM 0 ./NO_SSA_g721.exe  <  ../data/clinton.pcm  &> /dev/null
99	:	1569850783.848	     0.052	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/mediabench/jpeg/jpeg-6a && timeout --signal=TERM 0 ./NO_SSA_g721.exe  -dct int -progressive -opt ../data/testimg.ppm  < /dev/null &> /dev/null
100	:	1569850783.902	     0.088	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/mediabench/gsm/toast && timeout --signal=TERM 0 ./NO_SSA_gsm.exe  -c ../data/clinton.pcm  < /dev/null &> /dev/null
101	:	1569850783.993	     0.059	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/mediabench/mpeg2/mpeg2dec && timeout --signal=TERM 0 ./NO_SSA_mpeg2.exe  -b ../data/mei16v2.m2v -r -f -o0 tmp  < /dev/null &> /dev/null
102	:	1569850784.056	     0.168	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/ASCI_Purple && timeout --signal=TERM 0 ./NO_SSA_smg2000.exe  -n 30 15 30 -c 0.1 1.0 10.0  < /dev/null &> /dev/null
103	:	1569850784.228	     2.144	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Fhourstones_31 && timeout --signal=TERM 0 ./NO_SSA_Fhourstones_31.exe  <  inputs  &> /dev/null
104	:	1569850786.374	    11.023	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/PolyBench/linear-algebra/kernels/2mm && timeout --signal=TERM 0 ./NO_SSA_2mm.exe   < /dev/null &> /dev/null
105	:	1569850797.401	    20.007	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/PolyBench/linear-algebra/kernels/3mm && timeout --signal=TERM 0 ./NO_SSA_3mm.exe   < /dev/null &> /dev/null
106	:	1569850817.411	     0.072	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/PolyBench/linear-algebra/kernels/atax && timeout --signal=TERM 0 ./NO_SSA_atax.exe   < /dev/null &> /dev/null
107	:	1569850817.485	     0.064	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/PolyBench/linear-algebra/kernels/bicg && timeout --signal=TERM 0 ./NO_SSA_bicg.exe   < /dev/null &> /dev/null
108	:	1569850817.551	     5.457	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/PolyBench/linear-algebra/kernels/doitgen && timeout --signal=TERM 0 ./NO_SSA_doitgen.exe   < /dev/null &> /dev/null
109	:	1569850823.011	     0.088	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/PolyBench/linear-algebra/kernels/mvt && timeout --signal=TERM 0 ./NO_SSA_mvt.exe   < /dev/null &> /dev/null
110	:	1569850823.101	    64.543	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./NO_SSA_cholesky.exe   < /dev/null &> /dev/null
111	:	1569850887.647	     0.023	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/PolyBench/linear-algebra/solvers/durbin && timeout --signal=TERM 0 ./NO_SSA_durbin.exe   < /dev/null &> /dev/null
